survey	recording_givid	layer_code	layer_description	layer_cover
N2000meetnet_Duinen_BHM	IV2021011512133850	STR	Strooisel	10
N2000meetnet_Moeras_BHM	IV2021011512262706	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021011512262706	K	Kruidlaag	70
N2000meetnet_Moeras_BHM	IV2021011512262706	MO	Moslaag	90
N2000meetnet_Moeras_BHM	IV2021011512262706	NB	Naakte Bodem	5
N2000meetnet_Moeras_BHM	IV2021011512262706	S	Struiklaag	1
N2000meetnet_Moeras_BHM	IV2021011512262706	STR	Strooisel	20
N2000meetnet_Moeras_BHM	IV2021011512435934	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021011512435934	K	Kruidlaag	80
N2000meetnet_Moeras_BHM	IV2021011512435934	MO	Moslaag	90
N2000meetnet_Moeras_BHM	IV2021011512435934	NB	Naakte Bodem	0
N2000meetnet_Moeras_BHM	IV2021011512435934	S	Struiklaag	0
N2000meetnet_Moeras_BHM	IV2021011512435934	STR	Strooisel	20
N2000meetnet_Moeras_BHM	IV2021011512570115	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021011512570115	K	Kruidlaag	95
N2000meetnet_Moeras_BHM	IV2021011512570115	MO	Moslaag	20
N2000meetnet_Moeras_BHM	IV2021011512570115	NB	Naakte Bodem	5
N2000meetnet_Moeras_BHM	IV2021011512570115	S	Struiklaag	1
N2000meetnet_Moeras_BHM	IV2021011512570115	STR	Strooisel	1
N2000meetnet_Moeras_BHM	IV2021011513050017	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021011513050017	K	Kruidlaag	90
N2000meetnet_Moeras_BHM	IV2021011513050017	MO	Moslaag	1
N2000meetnet_Moeras_BHM	IV2021011513050017	NB	Naakte Bodem	10
N2000meetnet_Moeras_BHM	IV2021011513050017	S	Struiklaag	0
N2000meetnet_Moeras_BHM	IV2021011513050017	STR	Strooisel	2
N2000meetnet_Moeras_BHM	IV2021011513134385	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021011513134385	K	Kruidlaag	80
N2000meetnet_Moeras_BHM	IV2021011513134385	MO	Moslaag	90
N2000meetnet_Moeras_BHM	IV2021011513134385	NB	Naakte Bodem	0
N2000meetnet_Moeras_BHM	IV2021011513134385	S	Struiklaag	1
N2000meetnet_Moeras_BHM	IV2021011513134385	STR	Strooisel	0
N2000meetnet_Moeras_BHM	IV2021011513264212	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021011513264212	K	Kruidlaag	70
N2000meetnet_Moeras_BHM	IV2021011513264212	MO	Moslaag	95
N2000meetnet_Moeras_BHM	IV2021011513264212	NB	Naakte Bodem	0
N2000meetnet_Moeras_BHM	IV2021011513264212	S	Struiklaag	0
N2000meetnet_Moeras_BHM	IV2021011513264212	STR	Strooisel	0
N2000meetnet_Duinen_BHM	IV2021011513425087	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011513425087	K	Kruidlaag	95
N2000meetnet_Duinen_BHM	IV2021011513425087	MO	Moslaag	2
N2000meetnet_Duinen_BHM	IV2021011513425087	NB	Naakte Bodem	1
N2000meetnet_Duinen_BHM	IV2021011513425087	S	Struiklaag	0
N2000meetnet_Duinen_BHM	IV2021011513425087	STR	Strooisel	10
N2000meetnet_Duinen_BHM	IV2021011513563616	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011513563616	K	Kruidlaag	70
N2000meetnet_Duinen_BHM	IV2021011513563616	MO	Moslaag	15
N2000meetnet_Duinen_BHM	IV2021011513563616	NB	Naakte Bodem	25
N2000meetnet_Duinen_BHM	IV2021011513563616	S	Struiklaag	0
N2000meetnet_Duinen_BHM	IV2021011513563616	STR	Strooisel	5
N2000meetnet_Duinen_BHM	IV2021011514530901	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011514530901	K	Kruidlaag	95
N2000meetnet_Duinen_BHM	IV2021011514530901	MO	Moslaag	95
N2000meetnet_Duinen_BHM	IV2021011514530901	NB	Naakte Bodem	0
N2000meetnet_Duinen_BHM	IV2021011514530901	S	Struiklaag	1
N2000meetnet_Duinen_BHM	IV2021011514530901	STR	Strooisel	10
N2000meetnet_Duinen_BHM	IV2021011516515867	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011516515867	K	Kruidlaag	80
N2000meetnet_Duinen_BHM	IV2021011516515867	MO	Moslaag	50
N2000meetnet_Duinen_BHM	IV2021011516515867	NB	Naakte Bodem	3
N2000meetnet_Duinen_BHM	IV2021011516515867	S	Struiklaag	0
N2000meetnet_Duinen_BHM	IV2021011516515867	STR	Strooisel	5
N2000meetnet_Moeras_BHM	IV2021011520494495	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021011520494495	K	Kruidlaag	80
N2000meetnet_Moeras_BHM	IV2021011520494495	MO	Moslaag	20
N2000meetnet_Moeras_BHM	IV2021011520494495	NB	Naakte Bodem	10
N2000meetnet_Moeras_BHM	IV2021011520494495	S	Struiklaag	0
N2000meetnet_Moeras_BHM	IV2021011520494495	STR	Strooisel	80
N2000meetnet_Moeras_BHM	IV2021011521144741	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021011521144741	K	Kruidlaag	95
N2000meetnet_Moeras_BHM	IV2021011521144741	MO	Moslaag	1
N2000meetnet_Moeras_BHM	IV2021011521144741	NB	Naakte Bodem	5
N2000meetnet_Moeras_BHM	IV2021011521144741	S	Struiklaag	0
N2000meetnet_Moeras_BHM	IV2021011521144741	STR	Strooisel	90
N2000meetnet_Duinen_BHM	IV2021011522332571	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011522332571	K	Kruidlaag	80
N2000meetnet_Duinen_BHM	IV2021011522332571	MO	Moslaag	0
N2000meetnet_Duinen_BHM	IV2021011522332571	NB	Naakte Bodem	0
N2000meetnet_Duinen_BHM	IV2021011522332571	S	Struiklaag	70
N2000meetnet_Duinen_BHM	IV2021011522332571	STR	Strooisel	70
N2000meetnet_Duinen_BHM	IV2021011523051835	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011523051835	K	Kruidlaag	80
N2000meetnet_Duinen_BHM	IV2021011523051835	MO	Moslaag	10
N2000meetnet_Duinen_BHM	IV2021011523051835	NB	Naakte Bodem	0
N2000meetnet_Duinen_BHM	IV2021011523051835	S	Struiklaag	70
N2000meetnet_Duinen_BHM	IV2021011523051835	STR	Strooisel	20
N2000meetnet_Duinen_BHM	IV2021011813155073	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011813155073	S	Struiklaag	60
N2000meetnet_Duinen_BHM	IV2021011813214975	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011813214975	K	Kruidlaag	60
N2000meetnet_Duinen_BHM	IV2021011813214975	MO	Moslaag	4
N2000meetnet_Duinen_BHM	IV2021011813214975	NB	Naakte Bodem	0
N2000meetnet_Duinen_BHM	IV2021011813214975	S	Struiklaag	50
N2000meetnet_Duinen_BHM	IV2021011813214975	STR	Strooisel	30
N2000meetnet_Duinen_BHM	IV2021011911441348	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011911441348	K	Kruidlaag	40
N2000meetnet_Duinen_BHM	IV2021011911441348	MO	Moslaag	40
N2000meetnet_Duinen_BHM	IV2021011911441348	NB	Naakte Bodem	30
N2000meetnet_Duinen_BHM	IV2021011911441348	S	Struiklaag	1
N2000meetnet_Duinen_BHM	IV2021011911441348	STR	Strooisel	5
N2000meetnet_Duinen_BHM	IV2021011914253938	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011914253938	K	Kruidlaag	40
N2000meetnet_Duinen_BHM	IV2021011914253938	MO	Moslaag	50
N2000meetnet_Duinen_BHM	IV2021011914253938	NB	Naakte Bodem	10
N2000meetnet_Duinen_BHM	IV2021011914253938	S	Struiklaag	7
N2000meetnet_Duinen_BHM	IV2021011914253938	STR	Strooisel	10
N2000meetnet_Duinen_BHM	IV2021011916532820	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021011916532820	K	Kruidlaag	95
N2000meetnet_Duinen_BHM	IV2021011916532820	MO	Moslaag	5
N2000meetnet_Duinen_BHM	IV2021011916532820	NB	Naakte Bodem	1
N2000meetnet_Duinen_BHM	IV2021011916532820	S	Struiklaag	5
N2000meetnet_Duinen_BHM	IV2021011916532820	STR	Strooisel	1
N2000meetnet_Moeras_BHM	IV2021012113540381	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021012113540381	K	Kruidlaag	95
N2000meetnet_Moeras_BHM	IV2021012113540381	MO	Moslaag	20
N2000meetnet_Moeras_BHM	IV2021012113540381	NB	Naakte Bodem	1
N2000meetnet_Moeras_BHM	IV2021012113540381	S	Struiklaag	1
N2000meetnet_Moeras_BHM	IV2021012113540381	STR	Strooisel	95
N2000meetnet_Duinen_BHM	IV2021012116471966	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021012116471966	S	Struiklaag	0
N2000meetnet_Duinen_BHM	IV2021012116502705	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021012116502705	K	Kruidlaag	95
N2000meetnet_Duinen_BHM	IV2021012116502705	MO	Moslaag	50
N2000meetnet_Duinen_BHM	IV2021012116502705	NB	Naakte Bodem	0
N2000meetnet_Duinen_BHM	IV2021012116502705	S	Struiklaag	0
N2000meetnet_Duinen_BHM	IV2021012116502705	STR	Strooisel	0-x-1
N2000meetnet_Moeras_BHM	IV2021012212312587	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021012212312587	K	Kruidlaag	95
N2000meetnet_Moeras_BHM	IV2021012212312587	MO	Moslaag	20
N2000meetnet_Moeras_BHM	IV2021012212312587	NB	Naakte Bodem	5
N2000meetnet_Moeras_BHM	IV2021012212312587	S	Struiklaag	1
N2000meetnet_Moeras_BHM	IV2021012212312587	STR	Strooisel	95
N2000meetnet_Moeras_BHM	IV2021012509255046	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021012509255046	K	Kruidlaag	70
N2000meetnet_Moeras_BHM	IV2021012509255046	MO	Moslaag	70
N2000meetnet_Moeras_BHM	IV2021012509255046	NB	Naakte Bodem	10
N2000meetnet_Moeras_BHM	IV2021012509255046	S	Struiklaag	0
N2000meetnet_Moeras_BHM	IV2021012509255046	STR	Strooisel	70
N2000meetnet_Duinen_BHM	IV2021012509434584	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021012509434584	K	Kruidlaag	90
N2000meetnet_Duinen_BHM	IV2021012509434584	MO	Moslaag	1
N2000meetnet_Duinen_BHM	IV2021012509434584	NB	Naakte Bodem	10
N2000meetnet_Duinen_BHM	IV2021012509434584	S	Struiklaag	0
N2000meetnet_Duinen_BHM	IV2021012509434584	STR	Strooisel	3
N2000meetnet_Moeras_BHM	IV2021012511343208	B	Boomlaag	0
N2000meetnet_Moeras_BHM	IV2021012511343208	K	Kruidlaag	80
N2000meetnet_Moeras_BHM	IV2021012511343208	MO	Moslaag	20
N2000meetnet_Moeras_BHM	IV2021012511343208	NB	Naakte Bodem	10
N2000meetnet_Moeras_BHM	IV2021012511343208	S	Struiklaag	0
N2000meetnet_Moeras_BHM	IV2021012511343208	STR	Strooisel	80
N2000meetnet_Grasland_BHM	IV2021012511485933	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012511485933	K	Kruidlaag	80
N2000meetnet_Grasland_BHM	IV2021012511485933	MO	Moslaag	80
N2000meetnet_Grasland_BHM	IV2021012511485933	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2021012511485933	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012511485933	STR	Strooisel	0
N2000meetnet_Duinen_BHM	IV2021012513551835	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021012513551835	K	Kruidlaag	99
N2000meetnet_Duinen_BHM	IV2021012513551835	MO	Moslaag	5
N2000meetnet_Duinen_BHM	IV2021012513551835	NB	Naakte Bodem	1
N2000meetnet_Duinen_BHM	IV2021012513551835	S	Struiklaag	0
N2000meetnet_Duinen_BHM	IV2021012513551835	STR	Strooisel	3
N2000meetnet_Grasland_BHM	IV2021012514345931	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012514345931	K	Kruidlaag	70
N2000meetnet_Grasland_BHM	IV2021012514345931	MO	Moslaag	95
N2000meetnet_Grasland_BHM	IV2021012514345931	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012514345931	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012514345931	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012514434193	B	Boomlaag	80
N2000meetnet_Grasland_BHM	IV2021012514434193	K	Kruidlaag	90
N2000meetnet_Grasland_BHM	IV2021012514434193	MO	Moslaag	1
N2000meetnet_Grasland_BHM	IV2021012514434193	NB	Naakte Bodem	10
N2000meetnet_Grasland_BHM	IV2021012514434193	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012514434193	STR	Strooisel	10
N2000meetnet_Grasland_BHM	IV2021012515060055	B	Boomlaag	100
N2000meetnet_Grasland_BHM	IV2021012515060055	K	Kruidlaag	80
N2000meetnet_Grasland_BHM	IV2021012515060055	MO	Moslaag	1
N2000meetnet_Grasland_BHM	IV2021012515060055	NB	Naakte Bodem	20
N2000meetnet_Grasland_BHM	IV2021012515060055	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012515060055	STR	Strooisel	20
N2000meetnet_Duinen_BHM	IV2021012515511275	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021012515511275	S	Struiklaag	70
N2000meetnet_Grasland_BHM	IV2021012515560789	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012515560789	K	Kruidlaag	70
N2000meetnet_Grasland_BHM	IV2021012515560789	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012515560789	NB	Naakte Bodem	30
N2000meetnet_Grasland_BHM	IV2021012515560789	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012515560789	STR	Strooisel	5
N2000meetnet_Grasland_BHM	IV2021012516025281	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012516025281	K	Kruidlaag	50
N2000meetnet_Grasland_BHM	IV2021012516025281	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012516025281	NB	Naakte Bodem	50
N2000meetnet_Grasland_BHM	IV2021012516025281	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012516025281	STR	Strooisel	5
N2000meetnet_Grasland_BHM	IV2021012516055540	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012516055540	K	Kruidlaag	80
N2000meetnet_Grasland_BHM	IV2021012516055540	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012516055540	NB	Naakte Bodem	20
N2000meetnet_Grasland_BHM	IV2021012516055540	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012516055540	STR	Strooisel	1
N2000meetnet_Duinen_BHM	IV2021012516111513	B	Boomlaag	0
N2000meetnet_Duinen_BHM	IV2021012516111513	K	Kruidlaag	95
N2000meetnet_Duinen_BHM	IV2021012516111513	MO	Moslaag	4
N2000meetnet_Duinen_BHM	IV2021012516111513	NB	Naakte Bodem	5
N2000meetnet_Duinen_BHM	IV2021012516111513	S	Struiklaag	0-x-1
N2000meetnet_Duinen_BHM	IV2021012516111513	STR	Strooisel	2
N2000meetnet_Grasland_BHM	IV2021012516133392	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012516133392	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2021012516133392	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012516133392	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012516133392	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012516133392	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2021012516174650	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012516174650	K	Kruidlaag	90
N2000meetnet_Grasland_BHM	IV2021012516174650	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012516174650	NB	Naakte Bodem	10
N2000meetnet_Grasland_BHM	IV2021012516174650	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012516174650	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012516232562	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012516232562	K	Kruidlaag	95
N2000meetnet_Grasland_BHM	IV2021012516232562	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012516232562	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2021012516232562	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012516232562	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012521580594	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012521580594	K	Kruidlaag	80
N2000meetnet_Grasland_BHM	IV2021012521580594	MO	Moslaag	1
N2000meetnet_Grasland_BHM	IV2021012521580594	NB	Naakte Bodem	20
N2000meetnet_Grasland_BHM	IV2021012521580594	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012521580594	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2021012522022982	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012522022982	K	Kruidlaag	80
N2000meetnet_Grasland_BHM	IV2021012522022982	MO	Moslaag	1
N2000meetnet_Grasland_BHM	IV2021012522022982	NB	Naakte Bodem	20
N2000meetnet_Grasland_BHM	IV2021012522022982	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012522022982	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2021012522102067	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012522102067	K	Kruidlaag	30
N2000meetnet_Grasland_BHM	IV2021012522102067	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012522102067	NB	Naakte Bodem	70
N2000meetnet_Grasland_BHM	IV2021012522102067	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012522102067	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012522205817	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012522205817	K	Kruidlaag	25
N2000meetnet_Grasland_BHM	IV2021012522205817	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012522205817	NB	Naakte Bodem	75
N2000meetnet_Grasland_BHM	IV2021012522205817	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012522205817	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012608515707	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012608515707	K	Kruidlaag	99
N2000meetnet_Grasland_BHM	IV2021012608515707	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012608515707	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2021012608515707	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012608515707	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2021012609023284	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012609023284	K	Kruidlaag	99
N2000meetnet_Grasland_BHM	IV2021012609023284	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012609023284	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2021012609023284	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012609023284	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2021012609092697	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012609092697	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2021012609092697	MO	Moslaag	2
N2000meetnet_Grasland_BHM	IV2021012609092697	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012609092697	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012609092697	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012609151092	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012609151092	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2021012609151092	MO	Moslaag	2
N2000meetnet_Grasland_BHM	IV2021012609151092	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012609151092	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012609151092	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012612145091	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012612145091	K	Kruidlaag	95
N2000meetnet_Grasland_BHM	IV2021012612145091	MO	Moslaag	10
N2000meetnet_Grasland_BHM	IV2021012612145091	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2021012612145091	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012612145091	STR	Strooisel	20
N2000meetnet_Grasland_BHM	IV2021012612551785	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012612551785	K	Kruidlaag	99
N2000meetnet_Grasland_BHM	IV2021012612551785	MO	Moslaag	10
N2000meetnet_Grasland_BHM	IV2021012612551785	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012612551785	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012612551785	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2021012613043268	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012613043268	K	Kruidlaag	99
N2000meetnet_Grasland_BHM	IV2021012613043268	MO	Moslaag	1
N2000meetnet_Grasland_BHM	IV2021012613043268	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2021012613043268	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012613043268	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012613144954	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012613144954	K	Kruidlaag	99
N2000meetnet_Grasland_BHM	IV2021012613144954	MO	Moslaag	1
N2000meetnet_Grasland_BHM	IV2021012613144954	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2021012613144954	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012613144954	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012613231236	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012613231236	K	Kruidlaag	95
N2000meetnet_Grasland_BHM	IV2021012613231236	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012613231236	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2021012613231236	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012613231236	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012613275915	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012613275915	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2021012613275915	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012613275915	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012613275915	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012613275915	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012613403631	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012613403631	K	Kruidlaag	90
N2000meetnet_Grasland_BHM	IV2021012613403631	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012613403631	NB	Naakte Bodem	10
N2000meetnet_Grasland_BHM	IV2021012613403631	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012613403631	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012614050473	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012614050473	K	Kruidlaag	80
N2000meetnet_Grasland_BHM	IV2021012614050473	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012614050473	NB	Naakte Bodem	20
N2000meetnet_Grasland_BHM	IV2021012614050473	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012614050473	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012614500583	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012614500583	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2021012614500583	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012614500583	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012614500583	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012614500583	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012614592328	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012614592328	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2021012614592328	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012614592328	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012614592328	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012614592328	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012615095338	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012615095338	K	Kruidlaag	99
N2000meetnet_Grasland_BHM	IV2021012615095338	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012615095338	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2021012615095338	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012615095338	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012615132923	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012615132923	K	Kruidlaag	99
N2000meetnet_Grasland_BHM	IV2021012615132923	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012615132923	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2021012615132923	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012615132923	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012615172403	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012615172403	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2021012615172403	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012615172403	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012615172403	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012615172403	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012615264290	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012615264290	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2021012615264290	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012615264290	NB	Naakte Bodem	0
N2000meetnet_Grasland_BHM	IV2021012615264290	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012615264290	STR	Strooisel	0
N2000meetnet_Grasland_BHM	IV2021012615291966	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012615291966	K	Kruidlaag	95
N2000meetnet_Grasland_BHM	IV2021012615291966	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012615291966	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2021012615291966	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012615291966	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2021012615342454	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012615342454	K	Kruidlaag	98
N2000meetnet_Grasland_BHM	IV2021012615342454	MO	Moslaag	0
N2000meetnet_Grasland_BHM	IV2021012615342454	NB	Naakte Bodem	2
N2000meetnet_Grasland_BHM	IV2021012615342454	S	Struiklaag	0
N2000meetnet_Grasland_BHM	IV2021012615342454	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2021012615400469	B	Boomlaag	0
N2000meetnet_Grasland_BHM	IV2021012615400469	K	Kruidlaag	50
N2000meetnet_Grasland_BHM	IV2021012615400469	MO	Moslaag	0
